t0: 2011-07-05
tN: 2011-07-29
T: 2011-09-17
K: 500
date,S,V,implied volatility,delta,hedging error,PNL,PNL with Hedge
2011-07-05,532.44,44.2,0.259686,0.722654,0,0,0
2011-07-06,535.36,46.9,0.269337,0.733318,-0.592419,-2.7,-0.592419
2011-07-07,546.6,55.3,0.269861,0.787576,-0.160118,-11.1,-0.752537
2011-07-08,531.99,43.95,0.268563,0.719396,-0.159465,0.25,-0.912002
2011-07-11,527.28,41,0.27595,0.69151,-0.440646,3.2,-1.35265
2011-07-12,534.01,46.4,0.286787,0.722767,-0.748333,-2.2,-2.10098
2011-07-13,538.26,49.3,0.287137,0.745056,0.169321,-5.1,-1.93166
2011-07-14,528.94,41.15,0.272178,0.706903,1.20383,3.05,-0.72783
2011-07-15,597.62,99.65,0.28149,0.940745,-9.95187,-55.45,-10.6797
2011-07-18,594.94,97.65,0.300413,0.926444,-0.524013,-53.45,-11.2037
2011-07-19,602.55,103.8,0.266227,0.96029,0.897471,-59.6,-10.3062
2011-07-20,595.35,97.8,0.299707,0.931925,-0.917363,-53.6,-11.2236
2011-07-21,606.99,108.15,0.275665,0.964258,0.494077,-63.95,-10.7295
2011-07-22,618.23,118.7,0.24842,0.985999,0.284388,-74.5,-10.4451
2011-07-25,618.98,119.95,0.294242,0.971589,-0.51448,-75.75,-10.9596
2011-07-26,622.52,123.25,0.286969,0.978582,0.135517,-79.05,-10.8241
2011-07-27,607.22,108.65,0.304804,0.957691,-0.376449,-64.45,-11.2006
2011-07-28,610.94,112.1,0.302651,0.964978,0.108578,-67.9,-11.092
2011-07-29,603.69,106.8,0.370045,0.924709,-1.70016,-62.6,-12.7921
